Município,UTI adulto II COVID-19,UTI pediátrica II COVID-19,Unidade intermediária neonatal,Unidade isolamento,UTI adulto I,UTI adulto II,UTI adulto III,UTI pediátrica I,UTI pediátrica II,UTI pediátrica III,UTI neonatal I,UTI neonatal II,UTI neonatal III,UTI de Queimados,UTI coronariana tipo II -UCO tipo II,UTI coronariana tipo III - UCO tipo III,Unidade de cuidados intermed neonatal convencional,Unidade de cuidados intermed neonatal canguru,Unidade de cuidados intermed pediatrico,Unidade de cuidados intermed adulto,Total
150630 Salvaterra,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150635 Santa Bárbara do Pará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150640 Santa Cruz do Arari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150650 Santa Izabel do Pará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150655 Santa Luzia do Pará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150658 Santa Maria das Barreiras,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
150660 Santa Maria do Pará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150670 Santana do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150680 Santarém,27,7,-,2,-,27,-,-,10,-,-,19,-,-,-,-,-,-,-,10,102
150690 Santarém Novo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150700 Santo Antônio do Tauá,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150710 São Caetano de Odivelas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150715 São Domingos do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150720 São Domingos do Capim,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150730 São Félix do Xingu,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
150740 São Francisco do Pará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150745 São Geraldo do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150746 São João da Ponta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150747 São João de Pirabas,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150750 São João do Araguaia,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150760 São Miguel do Guamá,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
150770 São Sebastião da Boa Vista,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150775 Sapucaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150780 Senador José Porfírio,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150790 Soure,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150795 Tailândia,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,11
150796 Terra Alta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150797 Terra Santa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150800 Tomé-Açu,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150803 Tracuateua,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150805 Trairão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150808 Tucumã,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150810 Tucuruí,-,-,-,1,-,7,-,-,-,-,-,8,-,-,-,-,12,-,-,4,32
150812 Ulianópolis,7,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
150815 Uruará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150820 Vigia,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
150830 Viseu,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
150835 Vitória do Xingu,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150840 Xinguara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150000 Município ignorado - PA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160010 Amapá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160020 Calçoene,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
160021 Cutias,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160023 Ferreira Gomes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160025 Itaubal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160027 Laranjal do Jari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160030 Macapá,32,-,-,16,8,4,-,-,5,-,-,20,-,-,-,-,18,6,5,4,118
160040 Mazagão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160050 Oiapoque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160015 Pedra Branca do Amapari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160053 Porto Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160055 Pracuúba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160060 Santana,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
160005 Serra do Navio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160070 Tartarugalzinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160080 Vitória do Jari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160000 Município ignorado - AP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170025 Abreulândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170030 Aguiarnópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170035 Aliança do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170040 Almas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170070 Alvorada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170100 Ananás,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170105 Angico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170110 Aparecida do Rio Negro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170130 Aragominas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170190 Araguacema,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170200 Araguaçu,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
170210 Araguaína,20,-,-,-,-,29,-,-,11,-,-,18,-,6,-,-,21,5,-,17,127
170215 Araguanã,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170220 Araguatins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170230 Arapoema,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
170240 Arraias,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
170255 Augustinópolis,-,-,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13
170270 Aurora do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170290 Axixá do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170300 Babaçulândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170305 Bandeirantes do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170307 Barra do Ouro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170310 Barrolândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170320 Bernardo Sayão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170330 Bom Jesus do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170360 Brasilândia do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170370 Brejinho de Nazaré,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170380 Buriti do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170382 Cachoeirinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170384 Campos Lindos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170386 Cariri do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170388 Carmolândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170389 Carrasco Bonito,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170390 Caseara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170410 Centenário,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170510 Chapada da Natividade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170460 Chapada de Areia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170550 Colinas do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171670 Colméia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170555 Combinado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170560 Conceição do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170600 Couto Magalhães,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170610 Cristalândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170625 Crixás do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170650 Darcinópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170700 Dianópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170710 Divinópolis do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170720 Dois Irmãos do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170730 Dueré,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170740 Esperantina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170755 Fátima,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170765 Figueirópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170770 Filadélfia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170820 Formoso do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170825 Fortaleza do Tabocão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170830 Goianorte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170900 Goiatins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170930 Guaraí,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
170950 Gurupi,-,-,-,1,-,18,-,-,2,-,-,-,-,-,-,-,4,2,-,-,27
170980 Ipueiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171050 Itacajá,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
171070 Itaguatins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171090 Itapiratins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171110 Itaporã do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171150 Jaú do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171180 Juarina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171190 Lagoa da Confusão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171195 Lagoa do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171200 Lajeado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171215 Lavandeira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171240 Lizarda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171245 Luzinópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171250 Marianópolis do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171270 Mateiros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171280 Maurilândia do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171320 Miracema do Tocantins,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
171330 Miranorte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171360 Monte do Carmo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171370 Monte Santo do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171395 Muricilândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171420 Natividade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171430 Nazaré,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171488 Nova Olinda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171500 Nova Rosalândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171510 Novo Acordo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171515 Novo Alegre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171525 Novo Jardim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171550 Oliveira de Fátima,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172100 Palmas,16,6,-,1,-,26,-,-,8,-,-,20,-,6,1,-,20,6,-,-,110
171570 Palmeirante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171380 Palmeiras do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171575 Palmeirópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171610 Paraíso do Tocantins,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4
171620 Paranã,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
171630 Pau D'Arco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171650 Pedro Afonso,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
171660 Peixe,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
171665 Pequizeiro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171700 Pindorama do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171720 Piraquê,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171750 Pium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171780 Ponte Alta do Bom Jesus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171790 Ponte Alta do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171800 Porto Alegre do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171820 Porto Nacional,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171830 Praia Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171840 Presidente Kennedy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171845 Pugmil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171850 Recursolândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171855 Riachinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171865 Rio da Conceição,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171870 Rio dos Bois,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171875 Rio Sono,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171880 Sampaio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171884 Sandolândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171886 Santa Fé do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171888 Santa Maria do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171889 Santa Rita do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171890 Santa Rosa do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171900 Santa Tereza do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172000 Santa Terezinha do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172010 São Bento do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172015 São Félix do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172020 São Miguel do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172025 São Salvador do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172030 São Sebastião do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172049 São Valério,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172065 Silvanópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172080 Sítio Novo do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172085 Sucupira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172090 Taguatinga,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
172093 Taipas do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172097 Talismã,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172110 Tocantínia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172120 Tocantinópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172125 Tupirama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172130 Tupiratins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172208 Wanderlândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172210 Xambioá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170000 Município ignorado - TO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210005 Açailândia,10,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
210010 Afonso Cunha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210015 Água Doce do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210020 Alcântara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210030 Aldeias Altas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210040 Altamira do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210043 Alto Alegre do Maranhão,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8
210047 Alto Alegre do Pindaré,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,11
210050 Alto Parnaíba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210055 Amapá do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210060 Amarante do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210070 Anajatuba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210080 Anapurus,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
210083 Apicum-Açu,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
210087 Araguanã,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210090 Araioses,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
210095 Arame,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210100 Arari,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
210110 Axixá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210120 Bacabal,-,-,-,4,-,10,-,-,-,-,-,-,-,-,-,-,-,-,8,4,26
210125 Bacabeira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210130 Bacuri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210135 Bacurituba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210140 Balsas,-,-,-,10,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20
210150 Barão de Grajaú,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210160 Barra do Corda,9,-,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,20
210170 Barreirinhas,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8
210177 Bela Vista do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210173 Belágua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210180 Benedito Leite,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210190 Bequimão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210193 Bernardo do Mearim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210197 Boa Vista do Gurupi,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
210200 Bom Jardim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210203 Bom Jesus das Selvas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210207 Bom Lugar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210210 Brejo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210215 Brejo de Areia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210220 Buriti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210230 Buriti Bravo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210232 Buriticupu,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
210235 Buritirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210237 Cachoeira Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210240 Cajapió,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210250 Cajari,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
210255 Campestre do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210260 Cândido Mendes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210270 Cantanhede,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210275 Capinzal do Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210280 Carolina,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
210290 Carutapera,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
210300 Caxias,10,-,5,7,-,20,-,-,-,-,-,11,-,-,-,-,-,-,-,3,56
210310 Cedral,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210312 Central do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210315 Centro do Guilherme,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210317 Centro Novo do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210320 Chapadinha,-,-,-,2,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
210325 Cidelândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210330 Codó,-,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45
